"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","DingJiang9","","lab0-1-run-os2-DingJiang9","https://github.com/LearningOS/lab0-1-run-os2-DingJiang9","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","alexfanqi","","lab0-1-run-os2-alexfanqi","https://github.com/LearningOS/lab0-1-run-os2-alexfanqi","","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","wswtc","","lab0-1-run-os2-wswtc","https://github.com/LearningOS/lab0-1-run-os2-wswtc","2022-07-06 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","tuyunlei","","lab0-1-run-os2-tuyunlei","https://github.com/LearningOS/lab0-1-run-os2-tuyunlei","2022-07-06 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Andre-HJR","","lab0-1-run-os2-Andre-HJR","https://github.com/LearningOS/lab0-1-run-os2-Andre-HJR","2022-07-07 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","whfuyn","","lab0-1-run-os2-whfuyn","https://github.com/LearningOS/lab0-1-run-os2-whfuyn","2022-07-10 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Jacen-cpu","","lab0-1-run-os2-Jacen-cpu","https://github.com/LearningOS/lab0-1-run-os2-Jacen-cpu","2022-07-07 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","aucker","","lab0-1-run-os2-aucker","https://github.com/LearningOS/lab0-1-run-os2-aucker","2022-07-08 23:59:59 UTC","100","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","yufeng0213","","lab0-1-run-os2-yufeng0213","https://github.com/LearningOS/lab0-1-run-os2-yufeng0213","2022-07-08 23:59:59 UTC","0","0"
"lab0-1-run-os2","https://classroom.github.com/classrooms/19380377-2022-training-comp-on-open-source-os/assignments/lab0-1-run-os2","https://api.github.com/repos/LearningOS/rust-based-os-comp2022","Godones","","lab0-1-run-os2-Godones","https://github.com/LearningOS/lab0-1-run-os2-Godones","2022-07-09 23:59:59 UTC","100","0"
